ID,WasteType,WasteAmount,Latitude,Longitude,Temperature,WeatherType,DateTime
52,Residual,3,51.605,4.816,16.0,Fog,2025-06-23 07:12:00
53,Electronics,8,51.5862,4.7805,15.5,Cloudy,2025-06-23 12:39:00
54,Paper/Cardboard,9,51.602,4.779,18.3,Sunny,2025-06-24 01:46:00
55,Plastic,7,51.602,4.779,16.5,Cloudy,2025-06-24 08:42:00
56,Bulky,10,51.566,4.788,19.1,Sunny,2025-06-24 11:33:00
57,Bulky,5,51.6,4.805,16.2,Rain,2025-06-24 12:13:00
58,Residual,8,51.599,4.717,15.2,Cloudy,2025-06-24 13:31:00
59,Paper/Cardboard,16,51.556,4.779,21.6,Sunny,2025-06-24 16:25:00
60,Residual,11,51.5955,4.78,19.5,Sunny,2025-06-24 21:33:00
61,Residual,3,51.612,4.756,18.8,Fog,2025-06-25 05:44:00
62,Electronics,0,51.568,4.73,20.6,Storm,2025-06-25 06:43:00
63,Paper/Cardboard,8,51.576,4.796,13.5,Rain,2025-06-25 17:37:00
64,Residual,10,51.5905,4.7745,21.1,Sunny,2025-06-25 21:19:00
65,Electronics,9,51.568,4.73,20.5,Sunny,2025-06-25 23:16:00
66,Paper/Cardboard,7,51.605,4.816,19.6,Cloudy,2025-06-26 00:38:00
67,Glass,8,51.571,4.808,14.6,Sunny,2025-06-26 02:01:00
68,Residual,4,51.55,4.812,17.0,Fog,2025-06-26 04:08:00
69,Residual,9,51.568,4.73,21.8,Sunny,2025-06-26 07:30:00
70,Residual,5,51.597,4.772,17.4,Rain,2025-06-26 07:55:00
71,Paper/Cardboard,19,51.5887,4.775,17.9,Cloudy,2025-06-26 08:10:00
72,Residual,20,51.58374878847246,4.777944124851361,18.1,Sunny,2025-06-26 13:41:00
73,Plastic,20,51.58345798878744,4.784612406279551,15.4,Cloudy,2025-06-26 13:49:00
74,Glass,17,51.583901592005624,4.776683739173549,17.1,Cloudy,2025-06-26 13:58:00
75,Cans,20,51.58857668440962,4.778090594410834,21.0,Fog,2025-06-26 14:57:00
76,Cans,10,51.6,4.765,21.5,Rain,2025-06-26 15:42:00
77,Glass,19,51.588182133381665,4.778814375455565,21.0,Fog,2025-06-26 16:28:00
78,Plastic,17,51.58931396267098,4.7770289249732825,16.4,Storm,2025-06-26 17:33:00
79,Plastic,20,51.585299122724344,4.7807525622744755,15.2,Sunny,2025-06-26 18:22:00
80,Glass,18,51.5870990342913,4.779770119072534,15.2,Fog,2025-06-26 19:29:00
81,Plastic,20,51.5882280576952,4.781193301733678,17.4,Sunny,2025-06-26 19:39:00
82,Cans,18,51.582620651955224,4.780392796584279,13.6,Rain,2025-06-26 20:15:00
83,Plastic,18,51.58796439527988,4.780930208468843,19.5,Fog,2025-06-26 20:16:00
84,Residual,20,51.5861782725066,4.777910066043051,22.9,Sunny,2025-06-26 20:57:00
85,Cans,17,51.586735080572254,4.779890264274013,15.7,Fog,2025-06-26 22:32:00
86,Residual,20,51.587040401013724,4.775816613918287,13.6,Cloudy,2025-06-26 22:52:00
87,Cans,15,51.58414917974444,4.7794243773072855,21.9,Storm,2025-06-27 00:12:00
88,Glass,20,51.58307797455483,4.778876290435433,13.9,Cloudy,2025-06-27 02:49:00
89,Glass,18,51.58776545133376,4.78104597382893,19.9,Fog,2025-06-27 02:53:00
90,Cans,16,51.58350080641802,4.779567089290707,14.8,Rain,2025-06-27 02:58:00
91,Cans,20,51.588967440722385,4.781781458220406,23.3,Sunny,2025-06-27 03:11:00
92,Residual,19,51.586900060652525,4.781303989760368,17.9,Fog,2025-06-27 03:13:00
93,Glass,20,51.583946024179596,4.783157262133699,21.9,Sunny,2025-06-27 04:09:00
94,Paper/Cardboard,17,51.5894,4.7757,13.8,Cloudy,2025-06-27 04:22:00
95,Glass,17,51.58467581963336,4.777184486319152,12.2,Cloudy,2025-06-27 04:31:00
96,Paper/Cardboard,20,51.584086286001835,4.783088320647834,20.9,Sunny,2025-06-27 05:29:00
97,Cans,17,51.58562940367522,4.782158306590758,17.8,Cloudy,2025-06-27 08:34:00
98,Residual,18,51.585572085500324,4.779534536045519,12.9,Cloudy,2025-06-27 08:55:00
99,Residual,8,51.6,4.805,21.6,Cloudy,2025-06-27 09:09:00
100,Cans,20,51.5894,4.7757,18.1,Sunny,2025-06-27 09:18:00
101,Plastic,19,51.58459721448152,4.778791532278051,18.1,Cloudy,2025-06-27 09:24:00
102,Plastic,20,51.58705743934581,4.779401590737149,18.2,Cloudy,2025-06-27 09:25:00
103,Cans,3,51.597,4.772,16.0,Storm,2025-06-27 09:33:00
104,Plastic,15,51.590010298544094,4.7774721535665154,11.8,Rain,2025-06-27 10:28:00
105,Paper/Cardboard,20,51.58482878601528,4.783594178972264,17.3,Cloudy,2025-06-27 10:50:00
106,Paper/Cardboard,16,51.58491158349923,4.7816774065564305,16.0,Rain,2025-06-27 11:15:00
107,Cans,20,51.582000196028545,4.778928645943465,21.8,Storm,2025-06-27 11:17:00
108,Paper/Cardboard,7,51.56,4.77,16.6,Rain,2025-06-27 11:24:00
109,Plastic,19,51.58618590691893,4.781924462612264,16.1,Fog,2025-06-27 11:46:00
110,Cans,20,51.585661939031475,4.781376927249553,18.8,Sunny,2025-06-27 12:48:00
111,Cans,20,51.58803199829548,4.781762378388163,24.4,Sunny,2025-06-27 14:28:00
112,Paper/Cardboard,20,51.58355129393448,4.781000497951318,21.3,Sunny,2025-06-27 16:00:00
113,Plastic,20,51.58673358369159,4.778871017024277,18.3,Sunny,2025-06-27 16:02:00
114,Cans,20,51.58786124709508,4.7801834016531,15.0,Storm,2025-06-27 16:09:00
115,Glass,16,51.585937211788846,4.780355050247732,14.6,Storm,2025-06-27 17:31:00
116,Glass,19,51.58570635240898,4.781475982741609,13.8,Rain,2025-06-27 17:40:00
117,Residual,20,51.585153311163445,4.78252817824942,18.8,Sunny,2025-06-27 17:47:00
118,Residual,18,51.58503025173013,4.7804068254593215,18.6,Rain,2025-06-27 18:19:00
119,Residual,17,51.58526846367028,4.785249213100053,11.5,Storm,2025-06-27 18:52:00
120,Glass,20,51.587772398537304,4.782451968100588,17.0,Cloudy,2025-06-27 19:00:00
121,Glass,17,51.585346596216596,4.78192692552195,17.7,Rain,2025-06-27 19:56:00
122,Paper/Cardboard,20,51.58470262225326,4.780682587544351,20.9,Sunny,2025-06-27 19:57:00
123,Glass,20,51.58616790475183,4.781300606812997,15.0,Sunny,2025-06-27 22:02:00
124,Residual,20,51.583072589762914,4.780938805339508,18.4,Sunny,2025-06-27 22:10:00
125,Plastic,20,51.58534712041113,4.785081448459634,16.9,Sunny,2025-06-27 22:17:00
126,Residual,20,51.58751123612234,4.7783307787551275,22.5,Sunny,2025-06-27 23:23:00
127,Residual,10,51.576,4.796,16.9,Cloudy,2025-06-27 23:53:00
128,Glass,20,51.59023081272756,4.781557106967097,20.1,Cloudy,2025-06-28 00:02:00
129,Cans,20,51.583809282051405,4.783149911358763,17.5,Sunny,2025-06-28 00:10:00
130,Plastic,20,51.585643646756665,4.779277434925866,23.2,Sunny,2025-06-28 00:31:00
131,Plastic,20,51.58556675438987,4.7799984349316444,21.1,Sunny,2025-06-28 00:33:00
132,Plastic,20,51.5896308421956,4.781556640646558,14.6,Sunny,2025-06-28 01:08:00
133,Plastic,12,51.56,4.77,15.6,Cloudy,2025-06-28 01:48:00
134,Cans,17,51.58809935980563,4.778929384814728,23.7,Rain,2025-06-28 01:54:00
135,Residual,9,51.599,4.717,24.1,Cloudy,2025-06-28 03:34:00
136,Cans,16,51.58786415037658,4.7808900001343355,16.1,Rain,2025-06-28 03:54:00
137,Cans,18,51.58643684064287,4.7796597598832795,17.5,Cloudy,2025-06-28 05:24:00
138,Residual,20,51.58829021883753,4.7792784881870825,18.5,Fog,2025-06-28 05:40:00
139,Paper/Cardboard,20,51.59219026072739,4.7843109860381965,25.9,Sunny,2025-06-28 06:20:00
140,Glass,20,51.5832,4.7842,18.2,Cloudy,2025-06-28 07:07:00
141,Residual,20,51.587509782315955,4.78227013709329,15.8,Cloudy,2025-06-28 07:19:00
142,Plastic,7,51.55,4.812,20.9,Storm,2025-06-28 08:06:00
143,Plastic,20,51.58567114559687,4.781404015594234,16.8,Fog,2025-06-28 09:20:00
144,Plastic,16,51.58621233873067,4.779454175329943,15.7,Storm,2025-06-28 10:42:00
145,Cans,17,51.58667544414965,4.782139174918745,15.2,Storm,2025-06-28 11:59:00
146,Plastic,20,51.58524758660285,4.782690354892821,18.0,Sunny,2025-06-28 12:22:00
147,Cans,20,51.5887,4.775,15.5,Fog,2025-06-28 13:31:00
148,Glass,20,51.5894,4.7757,15.1,Cloudy,2025-06-28 15:44:00
149,Glass,20,51.58252697959525,4.778918931100554,21.1,Rain,2025-06-28 16:32:00
150,Paper/Cardboard,20,51.5955,4.78,19.7,Rain,2025-06-28 16:59:00
151,Residual,20,51.586297849649355,4.779949381575276,18.9,Sunny,2025-06-28 17:47:00
152,Paper/Cardboard,20,51.58787815427293,4.778586306052754,18.0,Fog,2025-06-28 17:55:00
153,Residual,20,51.58597225889521,4.7786139096105185,19.0,Cloudy,2025-06-28 18:58:00
154,Paper/Cardboard,20,51.5894,4.7757,15.3,Rain,2025-06-28 21:18:00
155,Plastic,20,51.58878178290528,4.780893958609185,16.7,Storm,2025-06-28 21:55:00
156,Cans,19,51.58421061436491,4.780340859741265,21.3,Rain,2025-06-28 22:39:00
157,Paper/Cardboard,20,51.58450935907004,4.782218092116356,18.4,Sunny,2025-06-28 22:45:00
158,Cans,20,51.586913512580615,4.779891044384507,19.2,Cloudy,2025-06-28 22:51:00
159,Glass,4,51.568,4.73,21.8,Rain,2025-06-29 02:31:00
160,Bulky,3,51.599,4.717,11.9,Storm,2025-06-29 04:51:00
161,Bulky,11,51.5894,4.7757,11.9,Sunny,2025-06-29 08:26:00
162,Bulky,8,51.597,4.772,17.4,Cloudy,2025-06-30 20:50:00
163,Paper/Cardboard,7,51.586,4.756,23.2,Rain,2025-06-30 21:15:00
164,Electronics,8,51.5955,4.78,14.8,Cloudy,2025-07-01 05:26:00
165,Plastic,10,51.556,4.824,18.8,Sunny,2025-07-01 08:16:00
166,Paper/Cardboard,6,51.5905,4.7745,21.4,Storm,2025-07-01 09:09:00
167,Cans,9,51.5886,4.7766,21.4,Storm,2025-07-01 10:14:00
168,Glass,10,51.556,4.824,19.8,Sunny,2025-07-01 12:41:00
169,Cans,15,51.5894,4.7757,21.7,Cloudy,2025-07-01 18:24:00
170,Bulky,6,51.576,4.796,20.7,Rain,2025-07-01 22:37:00
171,Plastic,14,51.5832,4.7842,19.0,Sunny,2025-07-01 22:40:00
172,Residual,6,51.5955,4.78,16.2,Fog,2025-07-02 00:06:00
173,Plastic,7,51.579,4.743,14.3,Cloudy,2025-07-02 04:48:00
174,Plastic,4,51.5905,4.801,17.5,Fog,2025-07-02 05:14:00
175,Plastic,2,51.55,4.812,17.1,Storm,2025-07-02 06:56:00
176,Residual,9,51.576,4.796,14.7,Cloudy,2025-07-02 13:17:00
177,Plastic,13,51.579,4.743,14.6,Sunny,2025-07-02 20:00:00
178,Cans,4,51.576,4.796,14.6,Storm,2025-07-02 23:21:00
179,Bulky,7,51.566,4.788,20.7,Rain,2025-07-03 15:56:00
180,Electronics,5,51.612,4.756,15.3,Rain,2025-07-03 21:00:00
181,Bulky,3,51.556,4.824,20.6,Storm,2025-07-04 01:50:00
182,Bulky,3,51.586,4.756,15.9,Storm,2025-07-04 10:28:00
183,Bulky,5,51.6,4.805,23.1,Rain,2025-07-04 10:50:00
184,Electronics,7,51.6,4.805,19.1,Rain,2025-07-04 16:48:00
185,Plastic,14,51.579,4.743,15.4,Sunny,2025-07-04 17:30:00
186,Residual,7,51.5905,4.7745,22.2,Storm,2025-07-04 22:37:00
187,Residual,9,51.55,4.812,24.6,Sunny,2025-07-05 00:14:00
188,Plastic,11,51.5905,4.7745,22.5,Cloudy,2025-07-05 03:26:00
189,Cans,10,51.5887,4.775,14.0,Cloudy,2025-07-05 22:48:00
190,Glass,13,51.5862,4.7805,17.0,Sunny,2025-07-06 03:14:00
191,Plastic,13,51.5955,4.78,19.6,Cloudy,2025-07-06 04:07:00
192,Residual,8,51.571,4.808,15.5,Fog,2025-07-06 07:42:00
193,Plastic,13,51.5905,4.801,17.2,Sunny,2025-07-06 09:11:00
194,Bulky,14,51.5862,4.7805,24.7,Sunny,2025-07-06 11:05:00
195,Plastic,10,51.556,4.779,20.0,Rain,2025-07-06 12:37:00
196,Electronics,12,51.615,4.76,19.2,Sunny,2025-07-06 14:04:00
197,Plastic,13,51.5894,4.7757,22.5,Cloudy,2025-07-06 14:14:00
198,Residual,12,51.5862,4.7805,14.4,Cloudy,2025-07-06 20:38:00
199,Glass,9,51.579,4.743,18.2,Sunny,2025-07-07 01:39:00
200,Bulky,2,51.602,4.779,15.4,Storm,2025-07-07 03:47:00
201,Plastic,13,51.5832,4.7842,20.0,Sunny,2025-07-07 03:54:00
202,Cans,11,51.579,4.743,19.5,Sunny,2025-07-07 04:01:00
203,Paper/Cardboard,6,51.5905,4.7745,18.2,Rain,2025-07-07 05:01:00
204,Residual,10,51.5862,4.7805,21.5,Cloudy,2025-07-07 13:28:00
205,Plastic,12,51.6,4.765,19.3,Cloudy,2025-07-07 15:41:00
206,Plastic,12,51.612,4.756,18.2,Sunny,2025-07-07 16:20:00
207,Residual,14,51.56,4.77,20.1,Sunny,2025-07-08 04:01:00
208,Paper/Cardboard,11,51.5886,4.7766,20.6,Cloudy,2025-07-08 10:19:00
209,Bulky,9,51.597,4.772,19.1,Sunny,2025-07-09 01:56:00
210,Cans,8,51.573,4.766,17.9,Cloudy,2025-07-09 02:51:00
211,Cans,10,51.5894,4.7757,16.8,Cloudy,2025-07-09 13:29:00
212,Cans,13,51.5886,4.7766,20.4,Cloudy,2025-07-09 15:46:00
213,Plastic,14,51.5862,4.7805,22.9,Sunny,2025-07-09 16:21:00
214,Bulky,5,51.568,4.73,14.0,Cloudy,2025-07-10 01:37:00
215,Paper/Cardboard,11,51.576,4.796,18.6,Sunny,2025-07-10 06:51:00
216,Residual,5,51.612,4.756,17.4,Rain,2025-07-10 10:03:00
217,Residual,6,51.579,4.743,13.1,Fog,2025-07-10 11:34:00
218,Plastic,16,51.58856430272341,4.776054475904658,16.6,Cloudy,2025-07-10 12:04:00
219,Cans,18,51.58836438782492,4.782729456075789,13.3,Sunny,2025-07-10 14:29:00
220,Plastic,20,51.58860012440922,4.776899326270335,20.6,Sunny,2025-07-10 14:56:00
221,Paper/Cardboard,19,51.5824343897141,4.781441877031318,18.6,Cloudy,2025-07-10 19:55:00
222,Paper/Cardboard,19,51.58570366495739,4.77434640328448,18.1,Sunny,2025-07-10 19:56:00
223,Cans,18,51.5886,4.7766,15.7,Cloudy,2025-07-10 22:43:00
224,Plastic,9,51.605,4.816,13.2,Cloudy,2025-07-11 02:45:00
225,Residual,15,51.5887,4.775,20.2,Rain,2025-07-11 05:16:00
226,Glass,19,51.58446264609223,4.773400136058083,20.6,Sunny,2025-07-11 05:32:00
227,Paper/Cardboard,17,51.5886,4.7766,16.8,Cloudy,2025-07-11 06:54:00
228,Plastic,20,51.58879976450857,4.77734128179454,19.1,Sunny,2025-07-11 06:56:00
229,Plastic,12,51.588453929620414,4.772465779550782,16.8,Storm,2025-07-11 08:34:00
230,Paper/Cardboard,16,51.58772702181739,4.775880501563625,15.1,Fog,2025-07-11 13:07:00
231,Paper/Cardboard,14,51.573,4.766,22.9,Sunny,2025-07-11 14:13:00
232,Paper/Cardboard,17,51.58728717416348,4.773801864918587,17.5,Fog,2025-07-11 17:33:00
233,Plastic,14,51.556,4.779,14.1,Cloudy,2025-07-11 17:36:00
234,Plastic,6,51.597,4.772,22.8,Storm,2025-07-11 20:50:00
235,Glass,16,51.58830777193681,4.783508092804489,19.0,Sunny,2025-07-12 06:18:00
236,Cans,15,51.58954230162666,4.776405240164926,19.5,Cloudy,2025-07-12 07:04:00
237,Plastic,20,51.5832,4.7842,20.0,Cloudy,2025-07-12 16:30:00
238,Cans,20,51.58780440918835,4.777696175408164,24.2,Sunny,2025-07-12 18:51:00
239,Cans,19,51.59204941871146,4.779481214738221,18.0,Cloudy,2025-07-12 20:54:00
240,Paper/Cardboard,18,51.58872250650051,4.77764490972242,18.2,Cloudy,2025-07-12 21:09:00
241,Plastic,14,51.58890759536107,4.779774858656283,14.3,Rain,2025-07-12 23:43:00
242,Plastic,6,51.586,4.756,20.2,Rain,2025-07-13 03:39:00
243,Cans,16,51.5886869000487,4.777091894618793,17.9,Fog,2025-07-13 03:46:00
244,Cans,16,51.59136792513234,4.776263615909547,21.2,Fog,2025-07-13 04:31:00
245,Bulky,2,51.568,4.73,17.1,Storm,2025-07-13 05:44:00
246,Glass,6,51.568,4.73,17.9,Rain,2025-07-13 16:09:00
247,Paper/Cardboard,20,51.5888451771312,4.782132932168838,21.2,Sunny,2025-07-13 17:07:00
248,Glass,18,51.5902707539878,4.7789722850042375,18.7,Sunny,2025-07-13 18:34:00
249,Paper/Cardboard,14,51.58608353229203,4.775325860089991,15.3,Storm,2025-07-13 19:17:00
250,Residual,9,51.571,4.808,24.9,Fog,2025-07-13 19:35:00
251,Cans,20,51.58983638142933,4.7797037602402455,22.5,Sunny,2025-07-13 19:54:00
252,Cans,8,51.566,4.788,19.0,Cloudy,2025-07-13 20:22:00
253,Cans,17,51.58801086249068,4.771567809608455,10.5,Fog,2025-07-13 21:11:00
254,Residual,5,51.5955,4.78,15.8,Storm,2025-07-14 02:18:00
255,Cans,12,51.5862,4.7805,18.5,Rain,2025-07-14 05:13:00
256,Glass,17,51.58872795542274,4.775853114067301,21.9,Cloudy,2025-07-14 10:59:00
257,Cans,17,51.590698347242885,4.77464808236777,14.8,Cloudy,2025-07-14 11:53:00
258,Plastic,8,51.5905,4.801,13.3,Storm,2025-07-14 17:26:00
259,Paper/Cardboard,8,51.602,4.779,16.0,Fog,2025-07-14 18:43:00
260,Residual,18,51.58860399871283,4.777163911734789,15.6,Cloudy,2025-07-14 18:55:00
261,Electronics,10,51.568,4.73,14.6,Sunny,2025-07-14 21:10:00
262,Bulky,2,51.5905,4.801,9.3,Rain,2025-07-15 00:43:00
263,Residual,15,51.58847600438126,4.775076377234881,16.0,Fog,2025-07-15 01:49:00
264,Plastic,9,51.556,4.779,17.1,Cloudy,2025-07-15 02:18:00
265,Cans,18,51.58503255022381,4.7733605306123765,11.6,Sunny,2025-07-15 02:22:00
266,Residual,13,51.5832,4.7842,25.0,Rain,2025-07-15 04:42:00
267,Plastic,7,51.5955,4.78,17.5,Rain,2025-07-15 05:36:00
268,Bulky,3,51.615,4.76,13.2,Fog,2025-07-15 06:10:00
269,Cans,14,51.589185867647,4.773422204871642,17.6,Cloudy,2025-07-15 07:21:00
270,Cans,19,51.58332344384742,4.777355093707132,19.5,Sunny,2025-07-15 07:40:00
271,Glass,13,51.5862,4.7805,15.5,Cloudy,2025-07-15 08:47:00
272,Residual,17,51.59091789916475,4.7823148768462795,19.3,Sunny,2025-07-15 15:38:00
273,Cans,18,51.58896582946026,4.776453563352033,19.3,Rain,2025-07-15 16:08:00
274,Paper/Cardboard,13,51.588569192125895,4.774348566917603,15.7,Storm,2025-07-15 19:43:00
275,Plastic,12,51.6,4.765,26.1,Fog,2025-07-15 21:06:00
276,Residual,14,51.58421446191498,4.777362543995868,15.5,Fog,2025-07-15 22:25:00
277,Paper/Cardboard,8,51.6,4.805,22.0,Sunny,2025-07-15 23:19:00
278,Paper/Cardboard,11,51.5862,4.7805,17.5,Storm,2025-07-16 00:15:00
279,Paper/Cardboard,19,51.58931709695914,4.783000485961034,18.7,Sunny,2025-07-16 00:59:00
280,Plastic,9,51.566,4.788,21.6,Sunny,2025-07-16 01:07:00
281,Paper/Cardboard,10,51.597,4.772,18.1,Sunny,2025-07-16 04:16:00
282,Plastic,14,51.587494993286256,4.777023020026865,18.2,Storm,2025-07-16 06:22:00
283,Paper/Cardboard,20,51.588621965785165,4.779471988035535,19.9,Sunny,2025-07-16 07:30:00
284,Plastic,7,51.55,4.812,18.6,Cloudy,2025-07-16 07:33:00
285,Residual,13,51.5832,4.7842,17.3,Storm,2025-07-16 08:13:00
286,Residual,16,51.58575479870243,4.77336226941344,15.1,Cloudy,2025-07-16 10:41:00
287,Glass,9,51.599,4.717,18.2,Sunny,2025-07-16 12:30:00
288,Paper/Cardboard,11,51.602,4.779,18.2,Sunny,2025-07-16 13:36:00
289,Paper/Cardboard,20,51.59294485672905,4.774074332540431,19.2,Sunny,2025-07-16 13:46:00
290,Glass,16,51.5890310159386,4.774743351738422,19.7,Fog,2025-07-16 17:15:00
291,Plastic,16,51.58797314833463,4.774196961068163,24.0,Rain,2025-07-16 17:35:00
292,Plastic,20,51.58813547248392,4.777547110793881,22.3,Sunny,2025-07-16 18:05:00
293,Paper/Cardboard,11,51.556,4.779,11.6,Storm,2025-07-16 21:30:00
294,Cans,20,51.58426190415918,4.779729629223744,18.3,Sunny,2025-07-16 22:04:00
295,Plastic,18,51.59017068631506,4.77448751001467,19.1,Cloudy,2025-07-16 23:57:00
296,Paper/Cardboard,9,51.55,4.812,20.8,Sunny,2025-07-17 01:27:00
297,Plastic,10,51.56,4.77,22.1,Cloudy,2025-07-17 02:33:00
298,Paper/Cardboard,5,51.579,4.743,22.6,Rain,2025-07-17 02:59:00
299,Glass,10,51.588538512335475,4.775431941333556,18.4,Rain,2025-07-17 03:09:00
300,Plastic,16,51.59159297629536,4.775102534572369,21.7,Cloudy,2025-07-17 06:19:00
301,Cans,13,51.584957166073266,4.777184238520893,12.6,Cloudy,2025-07-17 08:22:00
302,Plastic,13,51.59117199472936,4.776178340573288,17.5,Cloudy,2025-07-17 08:25:00
303,Glass,8,51.56,4.77,18.8,Cloudy,2025-07-17 08:40:00
304,Glass,12,51.576,4.796,14.4,Sunny,2025-07-17 13:21:00
305,Plastic,15,51.59086494933609,4.776204272592521,15.5,Rain,2025-07-17 15:07:00
306,Bulky,10,51.579,4.743,15.5,Sunny,2025-07-17 15:50:00
307,Cans,14,51.6,4.765,12.3,Sunny,2025-07-17 19:44:00
308,Glass,17,51.5886,4.7766,14.8,Cloudy,2025-07-17 21:35:00
309,Glass,15,51.588591628488736,4.782397601227119,22.4,Rain,2025-07-17 22:33:00
310,Residual,18,51.5886,4.7766,14.5,Sunny,2025-07-17 22:58:00
311,Glass,19,51.59006154938228,4.773455919488693,17.8,Sunny,2025-07-18 01:52:00
312,Plastic,14,51.59261092501078,4.773350185366603,15.0,Rain,2025-07-18 04:27:00
313,Plastic,14,51.58374221938181,4.777893051491719,18.5,Rain,2025-07-18 10:43:00
314,Residual,3,51.566,4.788,17.1,Storm,2025-07-18 11:09:00
315,Cans,20,51.5832,4.7842,17.3,Sunny,2025-07-18 11:27:00
316,Plastic,20,51.58594720779336,4.7765535325782995,25.0,Sunny,2025-07-18 17:14:00
317,Cans,13,51.55,4.812,20.7,Sunny,2025-07-18 17:50:00
318,Paper/Cardboard,19,51.59367701112997,4.778949134241494,17.0,Cloudy,2025-07-18 19:34:00
319,Residual,19,51.5887,4.775,28.2,Cloudy,2025-07-18 19:36:00
320,Plastic,17,51.5887,4.775,19.6,Sunny,2025-07-18 19:46:00
321,Plastic,16,51.5832,4.7842,17.4,Rain,2025-07-18 20:32:00
322,Glass,14,51.5886,4.7766,15.0,Storm,2025-07-18 20:48:00
323,Glass,20,51.58551004028238,4.775242644676208,22.6,Sunny,2025-07-18 21:39:00
324,Paper/Cardboard,9,51.615,4.76,19.8,Sunny,2025-07-18 23:21:00
325,Paper/Cardboard,7,51.571,4.808,15.1,Cloudy,2025-07-19 00:35:00
